2,0,9,0,17,0,21,0,5,0,20,0
19,0,11,0,8,0,3,0,12,0,22,0
13,0,18,0,16,0,10,0,1,0,15,0
23,0,14,0,22,0,6,0,7,0,4,0
15,0,3,0,13,0,5,0,2,0,19,0
21,0,12,0,1,0,14,0,7,0,18,0
20,0,10,0,9,0,11,0,4,0,23,0
16,0,8,0,2,0,17,0,6,0,13,0
9,1,14,0,4,0,3,1,18,0,11,0
7,1,12,0,8,0,6,1,15,0,20,0
23,0,5,0,16,0,19,1,22,0,21,0
1,0,17,0,4,0,10,0,2,0,12,0
15,0,7,0,21,0,11,0,9,0,13,0
19,0,14,0,3,0,20,0,17,0,16,0
18,0,5,0,1,0,8,0,23,0,6,0
22,0,9,0,15,0,10,0,17,0,14,0
5,0,11,0,7,0,4,0,19,0,16,0
21,0,6,0,10,0,8,0,20,0,3,0
12,0,23,0,18,0,13,0,22,0,2,0
1,0,3,0,6,0,9,0,7,0,19,0
