40,0,92,0,26,0,28,0,70,0,58,0
82,0,13,0,53,0,67,0,19,0,88,0
23,0,57,0,66,0,76,0,18,0,74,0
60,0,85,0,84,0,32,0,37,0,11,0
35,0,65,0,1,0,77,0,90,0,56,0
63,0,15,0,39,0,6,0,43,0,30,0
79,0,34,0,75,0,45,0,54,0,59,0
73,0,52,0,9,0,41,0,55,0,89,0
50,0,48,0,22,0,46,0,3,0,80,0
36,0,27,0,29,0,8,0,33,0,81,0
44,0,10,0,61,0,91,0,7,0,87,0
42,0,38,0,86,0,5,0,51,0,14,0
16,0,62,0,12,0,78,0,20,0,17,0
49,0,71,0,31,0,72,0,69,0,21,0
25,0,68,0,83,0,4,0,2,0,47,0
64,0,35,0,57,0,24,0,43,0,53,0
30,0,88,0,59,0,3,0,76,0,52,0
81,0,73,0,34,0,82,0,56,0,15,0
48,0,13,0,85,0,75,0,65,0,28,0
74,0,5,0,27,0,50,0,19,0,10,0
17,0,11,0,58,0,9,0,14,0,54,0
18,0,78,0,21,0,84,0,61,0,39,0
49,0,60,0,7,0,33,0,40,0,25,0
20,0,36,0,37,0,87,0,68,0,72,0
89,0,24,0,92,0,42,0,83,0,91,0
2,0,62,0,41,0,46,0,71,0,66,0
1,0,69,0,16,0,4,0,23,0,45,0
26,0,77,0,8,0,6,0,79,0,86,0
55,0,44,0,29,0,90,0,70,0,80,0
38,0,64,0,32,0,63,0,47,0,31,0
51,0,67,0,52,0,12,0,22,0,65,0
68,1,88,0,84,0,35,1,5,0,15,0
33,0,48,0,74,0,87,0,17,0,92,0
56,0,72,0,13,0,62,0,59,0,25,0
75,0,83,0,27,0,49,0,82,0,58,0
40,0,46,0,78,0,57,0,89,0,54,0
61,0,19,0,24,0,23,0,81,0,37,0
36,0,6,0,66,0,10,0,38,0,73,0
22,0,4,0,55,0,64,0,39,0,28,0
51,0,85,0,79,0,29,0,1,0,21,0
70,0,50,0,45,0,77,0,47,0,67,0
18,0,20,0,53,0,26,0,60,0,30,0
80,0,43,0,7,0,71,0,8,0,11,0
9,0,69,0,42,0,76,0,32,0,12,0
2,0,44,0,3,0,63,0,14,0,34,0
90,0,91,0,41,0,16,0,86,0,31,0
92,0,72,0,38,0,78,0,52,0,23,0
62,0,58,0,81,0,10,0,51,0,64,0
6,0,28,0,88,0,57,0,27,0,37,0
46,0,67,0,15,0,85,0,18,0,87,0
5,0,47,0,49,0,13,0,29,0,26,0
17,0,8,0,82,0,21,0,89,0,50,0
12,0,24,0,4,0,30,0,77,0,7,0
70,0,71,0,63,0,79,0,48,0,60,0
69,0,3,0,84,0,73,0,65,0,74,0
83,0,11,0,39,0,20,0,35,0,41,0
32,0,16,0,25,0,55,0,66,0,34,0
75,0,43,0,31,0,14,0,61,0,56,0
33,0,54,0,86,0,53,0,68,0,44,0
9,0,19,0,80,0,2,0,91,0,1,0
76,0,90,0,45,0,22,0,40,0,36,0
59,0,71,0,18,0,42,0,64,0,6,0
28,0,30,0,10,0,8,0,47,0,78,0
57,0,63,0,51,0,83,0,7,0,69,0
58,0,37,0,79,0,25,0,5,0,41,0
65,0,38,0,81,0,20,0,46,0,70,0
89,0,11,0,67,0,49,0,16,0,74,0
39,0,14,0,91,0,73,0,68,0,85,0
4,0,31,0,62,0,9,0,35,0,44,0
50,0,90,0,75,0,88,0,33,0,24,0
22,0,54,0,19,0,84,0,29,0,92,0
21,0,56,0,53,0,12,0,45,0,80,0
59,0,77,0,15,0,32,0,36,0,2,0
82,0,3,0,23,0,43,0,40,0,55,0
87,0,86,0,60,0,76,0,13,0,34,0
61,0,48,0,26,0,1,0,72,0,27,0
52,0,66,0,68,0,42,0,17,0,35,0
